ElementId,Category,LOD_Stage,loin_pass,missing_list,lod_score,final_status,checked_on
﻿﻿1666658,Ducts,LOD300,1,Type Mark:regex_fail,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666686,Ducts,LOD300,1,Type Mark:regex_fail,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666712,Ducts,LOD300,1,Type Mark:regex_fail,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666759,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666760,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666761,Ducts,LOD300,1,Type Mark:regex_fail,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666798,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666806,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666825,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666826,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666827,Ducts,LOD300,1,Type Mark:regex_fail,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666878,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666879,Ducts,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666880,Ducts,LOD300,1,Type Mark:regex_fail,3.54E-05,Needs Review,30-08-2025 15:46
﻿﻿1666987,Ducts,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1667026,Ducts,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1663903,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664032,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666313,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666328,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666397,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666412,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666483,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666498,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666569,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666584,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666749,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666764,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666815,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666830,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666868,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666883,Floors,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664105,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664123,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664143,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664157,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1664173,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666336,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666338,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666340,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666342,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666344,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666417,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666419,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666421,Pipes,LOD300,1,Insulation Thickness:lt_min,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666423,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
﻿﻿1666425,Pipes,LOD300,1,,0.99999463,Compliant,30-08-2025 15:46
