ElementId,Category,Type Name,Level,ApprovedLabel,MissingList,Assembly Code,ConnCount,ConnSizes_m,Default Thickness,Description,EndX_m,EndY_m,EndZ_m,Fire Rating,Insulation Thickness,Length_m,Lining Thickness,Material,Model,Service Type,StartX_m,StartY_m,StartZ_m,Structural,SurfaceArea_m2,System Type,Type Mark,Volume_m3,Width,is_missing_Default Thickness,is_missing_Model,is_missing_Service Type,is_missing_System Type,is_missing_Type Mark,is_missing_Width
﻿1664302,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,-15.242477252441958,3.3435165573531793,2.7500000000000004,,,19.000000000000004,,,CT,Power,-15.242477252441988,-15.656483442646824,2.7500000000000004,,15.260000000000044,,ABC-15,0.57000000000000228,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1664315,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,6.3137149953108818,43.719733752367958,2.7500000000000004,,,15.000000000000002,,,CT,Power,-8.68628500468912,43.719733752367958,2.7500000000000004,,12.060000000000034,,ABC-15,0.45000000000000168,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1664326,Cable Trays,Wire Mesh Cable Tray,L1,Fail,Model:missing,TRK-896,2,,,,4.1780973544324809,-5.0102071254383853,2.7500000000000004,,,6.0000000000000009,,,,Telecom,4.1780973544324711,-11.010207125438386,2.7500000000000004,,4.8600000000000003,,XYZ-96,0.18000000000000005,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
﻿1664337,Cable Trays,Solid Bottom Cable Tray,L1,Pass,,LAD-657,2,,,,6.3137149953108835,-17.991337759619725,2.7500000000000004,,,15.000000000000002,,,LAD,Telecom,-8.6862850046891182,-17.991337759619675,2.7500000000000004,,12.060000000000034,,CDE-87,0.45000000000000168,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1664348,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,17.302622946693276,37.774810681065695,2.7500000000000004,,,13.000000000000002,,,CT,Telecom,17.302622946693294,50.774810681065695,2.7500000000000004,,10.460000000000027,,ABC-15,0.3900000000000014,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666346,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,73.205778763007274,-25.395063919517177,2.7500000000000004,,,19.000000000000004,,,CT,Power,73.205778763007231,-44.395063919517185,2.7500000000000004,,15.260000000000044,,ABC-15,0.57000000000000239,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666347,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,94.761971010760107,-25.395063919517177,2.7500000000000004,,,15.000000000000002,,,CT,Power,79.761971010760107,-25.395063919517177,2.7500000000000004,,12.060000000000034,,ABC-15,0.45000000000000179,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666348,Cable Trays,Wire Mesh Cable Tray,L1,Fail,Model:missing,TRK-896,2,,,,92.626353369881727,-33.748787602308738,2.7500000000000004,,,6.0000000000000009,,,,Telecom,92.626353369881699,-39.748787602308738,2.7500000000000004,,4.8600000000000136,,XYZ-96,0.18000000000000069,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
﻿1666349,Cable Trays,Solid Bottom Cable Tray,L1,Pass,,LAD-657,2,,,,94.761971010760107,-46.729918236490086,2.7500000000000004,,,15.000000000000002,,,LAD,Telecom,79.761971010760107,-46.729918236490036,2.7500000000000004,,12.060000000000034,,CDE-87,0.45000000000000179,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666350,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,105.75087896214251,-31.339986990819444,2.7500000000000004,,,13.000000000000002,,,CT,Telecom,105.75087896214252,-18.339986990819444,2.7500000000000004,,10.460000000000027,,ABC-15,0.3900000000000014,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666427,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,73.205778763007402,61.604936080482837,2.7500000000000004,,,19.000000000000004,,,CT,Power,73.205778763007373,42.60493608048283,2.7500000000000004,,15.260000000000044,,ABC-15,0.57000000000000239,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666428,Cable Trays,Ladder Cable Tray,L1,Pass,,CT-123,2,,,,94.761971010760249,61.604936080482837,2.7500000000000004,,,15.000000000000002,,,CT,Power,79.761971010760234,61.604936080482837,2.7500000000000004,,12.060000000000034,,ABC-15,0.45000000000000179,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
﻿1666429,Cable Trays,Wire Mesh Cable Tray,L1,Fail,Model:missing,TRK-896,2,,,,92.626353369881855,53.251212397691283,2.7500000000000004,,,6.0000000000000009,,,,Telecom,92.626353369881841,47.251212397691276,2.7500000000000004,,4.8600000000000172,,XYZ-96,0.18000000000000083,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
﻿1666430,Cable Trays,Solid Bottom Cable Tray,L1,Pass,,LAD-657,2,,,,94.761971010760249,40.270081763509928,2.7500000000000004,,,15.000000000000002,,,LAD,Telecom,79.761971010760234,40.270081763509978,2.7500000000000004,,12.060000000000034,,CDE-87,0.45000000000000179,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
